yaw:  -24.4533032476 Yaw vel:  0.053 Yaw acc:  -9.85 yaw Deseada:  -12.5151123298 Control: 1529.85103088 Error:  -11.9381909178 
yaw:  -24.0956472219 Yaw vel:  0.08 Yaw acc:  -9.88 yaw Deseada:  -11.6113606673 Control: 1531.21412381 Error:  -12.4842865546 
yaw:  -24.0956472219 Yaw vel:  0.08 Yaw acc:  -9.88 yaw Deseada:  -10.6949915111 Control: 1533.50735587 Error:  -13.4006557108 
yaw:  -23.5756888261 Yaw vel:  0.08 Yaw acc:  -9.88 yaw Deseada:  -9.76729193277 Control: 1534.52353532 Error:  -13.8083968933 
yaw:  -23.5756888261 Yaw vel:  0.114 Yaw acc:  -9.86 yaw Deseada:  -8.82957021355 Control: 1536.87114389 Error:  -14.7461186125 
yaw:  -22.9430220636 Yaw vel:  0.114 Yaw acc:  -9.86 yaw Deseada:  -7.88315442612 Control: 1537.65162514 Error:  -15.0598676375 
yaw:  -22.9430220636 Yaw vel:  0.154 Yaw acc:  -9.86 yaw Deseada:  -6.92939099245 Control: 1540.0400226 Error:  -16.0136310712 
yaw:  -21.9790620981 Yaw vel:  0.205 Yaw acc:  -9.86 yaw Deseada:  -5.96964322066 Control: 1540.02352094 Error:  -16.0094188775 
yaw:  -21.9790620981 Yaw vel:  0.205 Yaw acc:  -9.86 yaw Deseada:  -5.00528982192 Control: 1542.44043912 Error:  -16.9737722762 
yaw:  -20.6750235988 Yaw vel:  0.205 Yaw acc:  -9.86 yaw Deseada:  -4.03772340892 Control: 1541.59115451 Error:  -16.6373001898 
yaw:  -20.6750235988 Yaw vel:  0.266 Yaw acc:  -9.95 yaw Deseada:  -3.06834897751 Control: 1544.02272376 Error:  -17.6066746213 
yaw:  -19.0270082351 Yaw vel:  0.266 Yaw acc:  -9.95 yaw Deseada:  -2.09858237293 Control: 1542.31684144 Error:  -16.9284258621 
yaw:  -19.0270082351 Yaw vel:  0.319 Yaw acc:  -9.91 yaw Deseada:  -1.1298487423 Control: 1544.74892945 Error:  -17.8971594928 
yaw:  -17.0671810754 Yaw vel:  0.319 Yaw acc:  -9.91 yaw Deseada:  -0.163580974913 Control: 1542.25281627 Error:  -16.9036001005 
yaw:  -17.0671810754 Yaw vel:  0.375 Yaw acc:  -9.83 yaw Deseada:  0.798781868193 Control: 1544.67089593 Error:  -17.8659629436 
yaw:  -14.8645987473 Yaw vel:  0.408 Yaw acc:  -9.96 yaw Deseada:  1.75579613361 Control: 1541.54323792 Error:  -16.6203948809 
yaw:  -14.8645987473 Yaw vel:  0.408 Yaw acc:  -9.96 yaw Deseada:  2.70601516246 Control: 1543.93244532 Error:  -17.5706139098 
