yaw:  -29.0258007082 Yaw vel:  -0.7 Yaw acc:  -9.77 yaw Deseada:  -51.2348574458 Control: 1444.47365113 Error:  22.2090567375 
yaw:  -33.1112646999 Yaw vel:  -0.684 Yaw acc:  -9.84 yaw Deseada:  -52.8259017869 Control: 1450.71907298 Error:  19.714637087 
yaw:  -33.1112646999 Yaw vel:  -0.684 Yaw acc:  -9.84 yaw Deseada:  -54.375056152 Control: 1446.83700296 Error:  21.2637914522 
yaw:  -37.1457652351 Yaw vel:  -0.655 Yaw acc:  -9.79 yaw Deseada:  -55.8813882674 Control: 1453.16668391 Error:  18.7356230324 
yaw:  -37.1457652351 Yaw vel:  -0.655 Yaw acc:  -9.79 yaw Deseada:  -57.344013897 Control: 1449.50105696 Error:  20.198248662 
yaw:  -41.011170777 Yaw vel:  -0.626 Yaw acc:  -9.79 yaw Deseada:  -58.7620974997 Control: 1455.62824024 Error:  17.7509267227 
yaw:  -41.011170777 Yaw vel:  -0.626 Yaw acc:  -9.79 yaw Deseada:  -60.1348528367 Control: 1452.18767802 Error:  19.1236820597 
yaw:  -44.7218520436 Yaw vel:  -0.626 Yaw acc:  -9.79 yaw Deseada:  -61.4615435291 Control: 1458.15618371 Error:  16.7396914855 
yaw:  -44.7218520436 Yaw vel:  -0.602 Yaw acc:  -9.77 yaw Deseada:  -62.7414835645 Control: 1454.94801554 Error:  18.0196315209 
yaw:  -48.2620449583 Yaw vel:  -0.569 Yaw acc:  -9.74 yaw Deseada:  -63.9740377525 Control: 1460.7252563 Error:  15.7119927942 
yaw:  -48.2620449583 Yaw vel:  -0.569 Yaw acc:  -9.74 yaw Deseada:  -65.1586221291 Control: 1457.7558683 Error:  16.8965771708 
yaw:  -51.6097085007 Yaw vel:  -0.546 Yaw acc:  -9.81 yaw Deseada:  -66.2947043089 Control: 1463.29252996 Error:  14.6849958081 
yaw:  -51.6097085007 Yaw vel:  -0.546 Yaw acc:  -9.81 yaw Deseada:  -67.3818037854 Control: 1460.56729466 Error:  15.7720952847 
yaw:  -54.7786942945 Yaw vel:  -0.546 Yaw acc:  -9.81 yaw Deseada:  -68.4194921795 Control: 1465.90284182 Error:  13.640797885 
yaw:  -54.7786942945 Yaw vel:  -0.515 Yaw acc:  -9.75 yaw Deseada:  -69.4073934349 Control: 1463.42601049 Error:  14.6286991404 
yaw:  -57.7511209043 Yaw vel:  -0.515 Yaw acc:  -9.75 yaw Deseada:  -70.3451839614 Control: 1468.51945884 Error:  12.5940630571 
yaw:  -57.7511209043 Yaw vel:  -0.484 Yaw acc:  -9.82 yaw Deseada:  -71.2325927255 Control: 1466.29430712 Error:  13.4814718212 
yaw:  -60.6420053007 Yaw vel:  -0.461 Yaw acc:  -9.82 yaw Deseada:  -72.0694012884 Control: 1471.43616991 Error:  11.4273959877 
yaw:  -60.6420053007 Yaw vel:  -0.461 Yaw acc:  -9.82 yaw Deseada:  -72.8554437915 Control: 1469.46462069 Error:  12.2134384908 
yaw:  -63.3838276486 Yaw vel:  -0.461 Yaw acc:  -9.82 yaw Deseada:  -73.5906068892 Control: 1474.48760352 Error:  10.2067792406 
yaw:  -63.3838276486 Yaw vel:  -0.438 Yaw acc:  -9.86 yaw Deseada:  -74.2748296301 Control: 1472.77094317 Error:  10.8910019815 
yaw:  -65.951090852 Yaw vel:  -0.411 Yaw acc:  -9.83 yaw Deseada:  -74.908103285 Control: 1477.61185504 Error:  8.95701243301 
yaw:  -65.951090852 Yaw vel:  -0.411 Yaw acc:  -9.83 yaw Deseada:  -75.4904711238 Control: 1476.15022866 Error:  9.53938027185 
yaw:  -68.3048355117 Yaw vel:  -0.411 Yaw acc:  -9.83 yaw Deseada:  -76.0220281409 Control: 1480.71115037 Error:  7.71719262927 
yaw:  -68.3048355117 Yaw vel:  -0.368 Yaw acc:  -9.83 yaw Deseada:  -76.5029207288 Control: 1479.50369658 Error:  8.19808521714 
yaw:  -70.4065666815 Yaw vel:  -0.326 Yaw acc:  -9.88 yaw Deseada:  -76.9333463013 Control: 1483.68684019 Error:  6.52677961972 
