yaw:  81.2873722181 Yaw vel:  -1.092 Yaw acc:  -9.83 yaw Deseada:  16.6767095746 Control: 1338.46078848 Error:  64.6106626435 
yaw:  74.3439863229 Yaw vel:  -1.276 Yaw acc:  -10.0 yaw Deseada:  13.7134867743 Control: 1348.43906141 Error:  60.6304995487 
yaw:  74.3439863229 Yaw vel:  -1.276 Yaw acc:  -10.0 yaw Deseada:  11.0585613172 Control: 1341.77622623 Error:  63.2854250058 
yaw:  66.4150724325 Yaw vel:  -1.398 Yaw acc:  -9.9 yaw Deseada:  8.71513900064 Control: 1355.77164633 Error:  57.6999334318 
yaw:  66.4150724325 Yaw vel:  -1.398 Yaw acc:  -9.9 yaw Deseada:  6.68155608342 Control: 1350.65838966 Error:  59.7335163491 
yaw:  57.9495993714 Yaw vel:  -1.431 Yaw acc:  -10.01 yaw Deseada:  4.95134895377 Control: 1367.53026887 Error:  52.9982504176 
yaw:  57.9495993714 Yaw vel:  -1.431 Yaw acc:  -10.01 yaw Deseada:  3.513388449 Control: 1363.90394491 Error:  54.4362109224 
yaw:  49.4450781188 Yaw vel:  -1.41 Yaw acc:  -9.86 yaw Deseada:  2.3520769753 Control: 1382.29572216 Error:  47.0930011435 
yaw:  49.4450781188 Yaw vel:  -1.41 Yaw acc:  -9.86 yaw Deseada:  1.44760574524 Control: 1380.002843 Error:  47.9974723736 
yaw:  41.2600082288 Yaw vel:  -1.336 Yaw acc:  -9.92 yaw Deseada:  0.776268654349 Control: 1398.81952412 Error:  40.4837395744 
yaw:  41.2600082288 Yaw vel:  -1.336 Yaw acc:  -9.92 yaw Deseada:  0.310828567778 Control: 1397.62526253 Error:  40.949179661 
yaw:  33.6443165684 Yaw vel:  -1.222 Yaw acc:  -9.8 yaw Deseada:  0.0209310941082 Control: 1415.96967997 Error:  33.6233854743 
yaw:  33.6443165684 Yaw vel:  -1.222 Yaw acc:  -9.8 yaw Deseada:  -0.126439705656 Control: 1415.57254323 Error:  33.770756274 
yaw:  26.8157632287 Yaw vel:  -1.095 Yaw acc:  -9.78 yaw Deseada:  -0.166469781281 Control: 1432.57049041 Error:  26.98223301 
yaw:  26.8157632287 Yaw vel:  -1.095 Yaw acc:  -9.78 yaw Deseada:  -0.135994310692 Control: 1432.62072318 Error:  26.9517575394 
yaw:  20.7829030216 Yaw vel:  -0.955 Yaw acc:  -10.0 yaw Deseada:  -0.0729546410662 Control: 1447.8837626 Error:  20.8558576627 
yaw:  20.7829030216 Yaw vel:  -0.955 Yaw acc:  -10.0 yaw Deseada:  -0.0158402184721 Control: 1448.00336118 Error:  20.7987432401 
yaw:  15.5164941998 Yaw vel:  -0.843 Yaw acc:  -9.95 yaw Deseada:  -0.00312297002228 Control: 1461.22122243 Error:  15.5196171698 
yaw:  15.5164941998 Yaw vel:  -0.843 Yaw acc:  -9.95 yaw Deseada:  -0.0726917029478 Control: 1461.02676822 Error:  15.5891859028 
yaw:  10.7053900569 Yaw vel:  -0.741 Yaw acc:  -10.03 yaw Deseada:  -0.261294085313 Control: 1472.60102983 Error:  10.9666841423 
yaw:  10.7053900569 Yaw vel:  -0.741 Yaw acc:  -10.03 yaw Deseada:  -0.603993673323 Control: 1471.72522563 Error:  11.3093837303 
yaw:  6.73599189673 Yaw vel:  -0.64 Yaw acc:  -9.91 yaw Deseada:  -1.13364925163 Control: 1480.33909476 Error:  7.86964114836 
yaw:  6.73599189673 Yaw vel:  -0.64 Yaw acc:  -9.91 yaw Deseada:  -1.88042345833 Control: 1478.45609675 Error:  8.61641535506 
yaw:  3.23070316963 Yaw vel:  -0.544 Yaw acc:  -9.98 yaw Deseada:  -2.87132727943 Control: 1484.75456862 Error:  6.10203044906 
yaw:  3.23070316963 Yaw vel:  -0.544 Yaw acc:  -9.98 yaw Deseada:  -4.1298065234 Control: 1481.59389908 Error:  7.36050969303 
yaw:  0.284845595496 Yaw vel:  -0.448 Yaw acc:  -9.9 yaw Deseada:  -5.67537583142 Control: 1485.10481632 Error:  5.96022142691 
yaw:  0.284845595496 Yaw vel:  -0.448 Yaw acc:  -9.9 yaw Deseada:  -7.5233051505 Control: 1480.47253752 Error:  7.808150746 
yaw:  -2.17534054546 Yaw vel:  -0.387 Yaw acc:  -9.93 yaw Deseada:  -9.68436290271 Control: 1481.22859092 Error:  7.50902235725 
yaw:  -2.17534054546 Yaw vel:  -0.387 Yaw acc:  -9.93 yaw Deseada:  -12.1646193339 Control: 1475.01729527 Error:  9.98927878844 
yaw:  -4.34419668007 Yaw vel:  -0.346 Yaw acc:  -9.95 yaw Deseada:  -14.9653127294 Control: 1473.44478812 Error:  10.6211160493 
yaw:  -4.34419668007 Yaw vel:  -0.346 Yaw acc:  -9.95 yaw Deseada:  -18.0827803522 Control: 1465.64159345 Error:  13.7385836721 
yaw:  -6.34632362817 Yaw vel:  -0.322 Yaw acc:  -9.89 yaw Deseada:  -21.508455103 Control: 1462.08921641 Error:  15.1621314749 
yaw:  -6.34632362817 Yaw vel:  -0.322 Yaw acc:  -9.89 yaw Deseada:  -25.2289280317 Control: 1452.77923431 Error:  18.8826044036 
yaw:  -8.2640627353 Yaw vel:  -0.314 Yaw acc:  -10.03 yaw Deseada:  -29.226075958 Control: 1447.58700088 Error:  20.9620132227 
yaw:  -8.2640627353 Yaw vel:  -0.314 Yaw acc:  -10.03 yaw Deseada:  -33.4772525974 Control: 1436.95074147 Error:  25.2131898621 
yaw:  -10.225587197 Yaw vel:  -0.339 Yaw acc:  -9.83 yaw Deseada:  -37.9555407476 Control: 1430.66547704 Error:  27.7299535506 
yaw:  -10.225587197 Yaw vel:  -0.339 Yaw acc:  -9.83 yaw Deseada:  -42.6300622821 Control: 1418.97091139 Error:  32.4044750851 
yaw:  -12.5011825398 Yaw vel:  -0.404 Yaw acc:  -9.95 yaw Deseada:  -47.4663419305 Control: 1412.57729673 Error:  34.9651593907 
yaw:  -12.5011825398 Yaw vel:  -0.404 Yaw acc:  -9.95 yaw Deseada:  -52.4267201137 Control: 1400.16716534 Error:  39.925537574 
yaw:  -15.3806400297 Yaw vel:  -0.536 Yaw acc:  -9.83 yaw Deseada:  -57.4708094521 Control: 1394.76629024 Error:  42.0901694224 
yaw:  -15.3806400297 Yaw vel:  -0.536 Yaw acc:  -9.83 yaw Deseada:  -62.5559889814 Control: 1382.04216406 Error:  47.1753489517 
yaw:  -19.1813380669 Yaw vel:  -0.696 Yaw acc:  -9.8 yaw Deseada:  -67.6379296162 Control: 1378.85361779 Error:  48.4565915493 
yaw:  -19.1813380669 Yaw vel:  -0.696 Yaw acc:  -9.8 yaw Deseada:  -72.6711439796 Control: 1366.25622547 Error:  53.4898059127 
yaw:  -23.9435064657 Yaw vel:  -0.881 Yaw acc:  -9.74 yaw Deseada:  -77.609553396 Control: 1365.83420837 Error:  53.6660469303 
yaw:  -23.9435064657 Yaw vel:  -0.881 Yaw acc:  -9.74 yaw Deseada:  -82.4070646135 Control: 1353.82275149 Error:  58.4635581478 
yaw:  -29.7888489517 Yaw vel:  -1.037 Yaw acc:  -9.87 yaw Deseada:  -87.0181486902 Control: 1356.93147177 Error:  57.2292997384 
yaw:  -29.7888489517 Yaw vel:  -1.037 Yaw acc:  -9.87 yaw Deseada:  -91.3984144473 Control: 1345.95933359 Error:  61.6095654956 
yaw:  -36.5216840204 Yaw vel:  -1.212 Yaw acc:  -10.05 yaw Deseada:  -95.5051689602 Control: 1352.55133002 Error:  58.9834849398 
yaw:  -36.5216840204 Yaw vel:  -1.212 Yaw acc:  -10.05 yaw Deseada:  -99.2979577262 Control: 1343.04481361 Error:  62.7762737058 
yaw:  -44.1161372076 Yaw vel:  -1.34 Yaw acc:  -9.91 yaw Deseada:  -102.739077413 Control: 1353.45852817 Error:  58.6229402058 
yaw:  -44.1161372076 Yaw vel:  -1.34 Yaw acc:  -9.91 yaw Deseada:  -105.794054453 Control: 1345.79352884 Error:  61.6779172451 
yaw:  -52.2853508134 Yaw vel:  -1.416 Yaw acc:  -10.07 yaw Deseada:  -108.432083184 Control: 1359.65431005 Error:  56.1467323702 
yaw:  -52.2853508134 Yaw vel:  -1.416 Yaw acc:  -10.07 yaw Deseada:  -110.626417795 Control: 1354.13894655 Error:  58.3410669811 
yaw:  -60.6285156771 Yaw vel:  -1.411 Yaw acc:  -9.98 yaw Deseada:  -112.354712904 Control: 1370.70978347 Error:  51.7261972272 
yaw:  -60.6285156771 Yaw vel:  -1.411 Yaw acc:  -9.98 yaw Deseada:  -113.599308308 Control: 1367.56826322 Error:  52.9707926305 
yaw:  -68.6669584811 Yaw vel:  -1.339 Yaw acc:  -9.93 yaw Deseada:  -114.347454141 Control: 1385.82661121 Error:  45.68049566 
yaw:  -68.6669584811 Yaw vel:  -1.339 Yaw acc:  -9.93 yaw Deseada:  -114.591473506 Control: 1385.18778035 Error:  45.9245150254 
yaw:  -76.2497661957 Yaw vel:  -1.261 Yaw acc:  -10.0 yaw Deseada:  -114.328860416 Control: 1404.83222787 Error:  38.0790942199 
