yaw:  -70.1371635301 Yaw vel:  -1.326 Yaw acc:  -9.8 yaw Deseada:  -114.482684743 Control: 1389.13655515 Error:  44.3455212126 
yaw:  -77.8927203893 Yaw vel:  -1.27 Yaw acc:  -9.79 yaw Deseada:  -113.898394415 Control: 1410.02372908 Error:  36.0056740258 
yaw:  -77.8927203893 Yaw vel:  -1.27 Yaw acc:  -9.79 yaw Deseada:  -112.814586666 Control: 1412.70026071 Error:  34.9218662767 
yaw:  -85.0698831691 Yaw vel:  -1.159 Yaw acc:  -9.83 yaw Deseada:  -111.24237129 Control: 1434.60854357 Error:  26.1724881207 
yaw:  -85.0698831691 Yaw vel:  -1.159 Yaw acc:  -9.83 yaw Deseada:  -109.197828466 Control: 1439.68942732 Error:  24.1279452967 
yaw:  -91.5392471056 Yaw vel:  -1.02 Yaw acc:  -9.83 yaw Deseada:  -106.701803707 Control: 1462.13434175 Error:  15.1625566018 
yaw:  -91.5392471056 Yaw vel:  -1.02 Yaw acc:  -9.83 yaw Deseada:  -103.779642178 Control: 1469.41228683 Error:  12.2403950726 
yaw:  -97.1721109443 Yaw vel:  -0.868 Yaw acc:  -9.87 yaw Deseada:  -100.460865866 Control: 1491.81877117 Error:  3.2887549221 
yaw:  -97.1721109443 Yaw vel:  -0.868 Yaw acc:  -9.87 yaw Deseada:  -96.7787978636 Control: 1501.00000417 Error:  -0.393313080702 
yaw:  -102.010268613 Yaw vel:  -0.73 Yaw acc:  -9.82 yaw Deseada:  -92.7701386866 Control: 1523.14049501 Error:  -9.24012992618 
yaw:  -102.010268613 Yaw vel:  -0.73 Yaw acc:  -9.82 yaw Deseada:  -88.4745002117 Control: 1533.85892299 Error:  -13.535768401 
yaw:  -105.873252853 Yaw vel:  -0.587 Yaw acc:  -9.76 yaw Deseada:  -83.9339033485 Control: 1554.88651984 Error:  -21.939349504 
yaw:  -105.873252853 Yaw vel:  -0.587 Yaw acc:  -9.76 yaw Deseada:  -79.1922460512 Control: 1566.72403738 Error:  -26.6810068014 
yaw:  -109.04256308 Yaw vel:  -0.464 Yaw acc:  -9.77 yaw Deseada:  -74.2947486592 Control: 1586.90614235 Error:  -34.7478144211 
yaw:  -109.04256308 Yaw vel:  -0.464 Yaw acc:  -9.77 yaw Deseada:  -69.2873838516 Control: 1599.41066751 Error:  -39.7551792287 
yaw:  -111.328347358 Yaw vel:  -0.293 Yaw acc:  -9.76 yaw Deseada:  -64.2162986991 Control: 1617.81349622 Error:  -47.1120486587 
yaw:  -111.328347358 Yaw vel:  -0.293 Yaw acc:  -9.76 yaw Deseada:  -59.1272364008 Control: 1630.52586053 Error:  -52.2011109569 
yaw:  -112.127192623 Yaw vel:  -0.003 Yaw acc:  -9.7 yaw Deseada:  -54.0649652925 Control: 1645.18214935 Error:  -58.0622273301 
yaw:  -112.127192623 Yaw vel:  -0.003 Yaw acc:  -9.7 yaw Deseada:  -49.072722613 Control: 1657.65881216 Error:  -63.0544700097 
yaw:  -110.840460115 Yaw vel:  0.399 Yaw acc:  -9.65 yaw Deseada:  -44.1916803189 Control: 1666.63824529 Error:  -66.6487797962 
yaw:  -110.840460115 Yaw vel:  0.399 Yaw acc:  -9.65 yaw Deseada:  -39.4604399432 Control: 1678.47149758 Error:  -71.380020172 
yaw:  -107.268858575 Yaw vel:  0.777 Yaw acc:  -9.68 yaw Deseada:  -34.9145631049 Control: 1680.89015449 Error:  -72.3542954705 
yaw:  -107.268858575 Yaw vel:  0.777 Yaw acc:  -9.68 yaw Deseada:  -30.5861438072 Control: 1691.72640211 Error:  -76.6827147683 
yaw:  -101.69894176 Yaw vel:  1.074 Yaw acc:  -9.85 yaw Deseada:  -26.503428101 Control: 1687.98204558 Error:  -75.1955136592 
yaw:  -101.69894176 Yaw vel:  1.074 Yaw acc:  -9.85 yaw Deseada:  -22.6904860685 Control: 1697.5384132 Error:  -79.0084556916 
yaw:  -94.6248328745 Yaw vel:  1.338 Yaw acc:  -10.05 yaw Deseada:  -19.1669403846 Control: 1688.62864835 Error:  -75.4578924899 
yaw:  -94.6248328745 Yaw vel:  1.338 Yaw acc:  -10.05 yaw Deseada:  -15.9477549632 Control: 1696.70727442 Error:  -78.6770779114 
yaw:  -86.2694897836 Yaw vel:  1.524 Yaw acc:  -10.05 yaw Deseada:  -13.043086403 Control: 1683.04132615 Error:  -73.2264033806 
yaw:  -86.2694897836 Yaw vel:  1.524 Yaw acc:  -10.05 yaw Deseada:  -10.4582001138 Control: 1689.53992755 Error:  -75.8112896698 
yaw:  -77.1279714286 Yaw vel:  1.632 Yaw acc:  -9.96 yaw Deseada:  -8.19345214681 Control: 1672.30516751 Error:  -68.9345192818 
yaw:  -77.1279714286 Yaw vel:  1.632 Yaw acc:  -9.96 yaw Deseada:  -6.2443368851 Control: 1677.21790855 Error:  -70.8836345435 
yaw:  -67.6849275426 Yaw vel:  1.651 Yaw acc:  -10.03 yaw Deseada:  -4.6015998781 Control: 1657.67301833 Error:  -63.0833276645 
yaw:  -67.6849275426 Yaw vel:  1.651 Yaw acc:  -10.03 yaw Deseada:  -3.25141424058 Control: 1661.08989269 Error:  -64.433513302 
yaw:  -58.387626233 Yaw vel:  1.603 Yaw acc:  -10.03 yaw Deseada:  -2.17561819754 Control: 1640.49282432 Error:  -56.2120080355 
yaw:  -58.387626233 Yaw vel:  1.603 Yaw acc:  -10.03 yaw Deseada:  -1.35201054627 Control: 1642.59276482 Error:  -57.0356156868 
yaw:  -49.6741250975 Yaw vel:  1.514 Yaw acc:  -10.02 yaw Deseada:  -0.754700041425 Control: 1622.26185441 Error:  -48.9194250561 
yaw:  -49.6741250975 Yaw vel:  1.514 Yaw acc:  -10.02 yaw Deseada:  -0.354503995423 Control: 1623.30086251 Error:  -49.3196211021 
yaw:  -41.1917609786 Yaw vel:  1.407 Yaw acc:  -10.04 yaw Deseada:  -0.119390735979 Control: 1602.64363585 Error:  -41.0723702426 
yaw:  -41.1917609786 Yaw vel:  1.407 Yaw acc:  -10.04 yaw Deseada:  -0.014959982583 Control: 1602.9424746 Error:  -41.176800996 
yaw:  -33.5895384512 Yaw vel:  1.271 Yaw acc:  -10.12 yaw Deseada:  -0.00495470254896 Control: 1583.92714168 Error:  -33.5845837487 
yaw:  -33.5895384512 Yaw vel:  1.271 Yaw acc:  -10.12 yaw Deseada:  -0.0517975912264 Control: 1583.84414045 Error:  -33.53774086 
yaw:  -26.8495265613 Yaw vel:  1.151 Yaw acc:  -10.09 yaw Deseada:  -0.117144995717 Control: 1566.80020218 Error:  -26.7323815656 
yaw:  -26.8495265613 Yaw vel:  1.151 Yaw acc:  -10.09 yaw Deseada:  -0.162450871148 Control: 1566.71748453 Error:  -26.6870756901 
yaw:  -20.5800634787 Yaw vel:  1.025 Yaw acc:  -9.93 yaw Deseada:  -0.149533226364 Control: 1551.04806236 Error:  -20.4305302524 
yaw:  -20.5800634787 Yaw vel:  1.025 Yaw acc:  -9.93 yaw Deseada:  -0.0411354835116 Control: 1551.34780959 Error:  -20.5389279952 
yaw:  -15.1452358524 Yaw vel:  0.893 Yaw acc:  -9.97 yaw Deseada:  0.198524756172 Control: 1538.33593998 Error:  -15.3437606085 
yaw:  -15.1452358524 Yaw vel:  0.893 Yaw acc:  -9.97 yaw Deseada:  0.603226880879 Control: 1539.37298421 Error:  -15.7484627333 
yaw:  -10.5118592081 Yaw vel:  0.78 Yaw acc:  -9.94 yaw Deseada:  1.20424544725 Control: 1529.27205686 Error:  -11.7161046554 
