yaw:  57.3126705709 Yaw vel:  0.051 Yaw acc:  -9.98 yaw Deseada:  5.1252359897 Control: 1369.52169121 Error:  52.1874345812 
yaw:  57.0068351904 Yaw vel:  -0.127 Yaw acc:  -10.04 yaw Deseada:  1.63611954157 Control: 1361.56483309 Error:  55.3707156489 
yaw:  57.0068351904 Yaw vel:  -0.127 Yaw acc:  -10.04 yaw Deseada:  -1.61671369947 Control: 1353.43256769 Error:  58.6235488899 
yaw:  55.2319080818 Yaw vel:  -0.397 Yaw acc:  -9.8 yaw Deseada:  -4.6053397297 Control: 1350.40368681 Error:  59.8372478115 
yaw:  52.0430703432 Yaw vel:  -0.397 Yaw acc:  -9.8 yaw Deseada:  -7.30582626327 Control: 1351.62904339 Error:  59.3488966065 
yaw:  52.0430703432 Yaw vel:  -0.633 Yaw acc:  -9.77 yaw Deseada:  -9.69853661725 Control: 1345.63968765 Error:  61.7416069605 
yaw:  52.0430703432 Yaw vel:  -0.633 Yaw acc:  -9.77 yaw Deseada:  -11.768375824 Control: 1340.46593955 Error:  63.8114461672 
yaw:  47.4608842592 Yaw vel:  -0.809 Yaw acc:  -9.77 yaw Deseada:  -13.5049757231 Control: 1347.59283515 Error:  60.9658599824 
yaw:  47.4608842592 Yaw vel:  -0.809 Yaw acc:  -9.77 yaw Deseada:  -14.9028165936 Control: 1344.08707127 Error:  62.3637008528 
yaw:  42.3028517566 Yaw vel:  -0.942 Yaw acc:  -9.92 yaw Deseada:  -15.9612837265 Control: 1354.350443 Error:  58.264135483 
yaw:  36.188626921 Yaw vel:  -0.942 Yaw acc:  -9.92 yaw Deseada:  -16.6846582016 Control: 1367.83096369 Error:  52.8732851226 
yaw:  36.188626921 Yaw vel:  -1.019 Yaw acc:  -10.01 yaw Deseada:  -17.0820420014 Control: 1366.82228277 Error:  53.2706689224 
yaw:  36.188626921 Yaw vel:  -1.019 Yaw acc:  -10.01 yaw Deseada:  -17.1672184655 Control: 1366.61016258 Error:  53.3558453865 
yaw:  30.3673454839 Yaw vel:  -1.022 Yaw acc:  -9.98 yaw Deseada:  -16.9584499468 Control: 1381.70136468 Error:  47.3257954306 
yaw:  30.3673454839 Yaw vel:  -1.022 Yaw acc:  -9.98 yaw Deseada:  -16.4782153596 Control: 1382.88736034 Error:  46.8455608435 
yaw:  23.9991947055 Yaw vel:  -1.044 Yaw acc:  -10.02 yaw Deseada:  -15.7528911087 Control: 1400.63843124 Error:  39.7520858143 
yaw:  23.9991947055 Yaw vel:  -1.044 Yaw acc:  -10.02 yaw Deseada:  -14.8123796364 Control: 1402.97353614 Error:  38.811574342 
yaw:  17.9351000434 Yaw vel:  -0.992 Yaw acc:  -9.93 yaw Deseada:  -13.6896905207 Control: 1420.95691133 Error:  31.6247905641 
yaw:  17.9351000434 Yaw vel:  -0.992 Yaw acc:  -9.93 yaw Deseada:  -12.420479685 Control: 1424.11438603 Error:  30.3555797284 
yaw:  12.621597921 Yaw vel:  -0.824 Yaw acc:  -9.89 yaw Deseada:  -11.042552836 Control: 1440.85720591 Error:  23.6641507571 
yaw:  12.621597921 Yaw vel:  -0.824 Yaw acc:  -9.89 yaw Deseada:  -9.59533972125 Control: 1444.46145835 Error:  22.2169376423 
yaw:  8.11236508761 Yaw vel:  -0.704 Yaw acc:  -9.87 yaw Deseada:  -8.1193461841 Control: 1459.43644621 Error:  16.2317112717 
yaw:  4.32700850902 Yaw vel:  -0.704 Yaw acc:  -9.87 yaw Deseada:  -6.65559129118 Control: 1472.55728976 Error:  10.9825998002 
yaw:  4.32700850902 Yaw vel:  -0.587 Yaw acc:  -9.95 yaw Deseada:  -5.24503700431 Control: 1476.07359138 Error:  9.57204551333 
yaw:  4.32700850902 Yaw vel:  -0.587 Yaw acc:  -9.95 yaw Deseada:  -3.92801797074 Control: 1479.36589296 Error:  8.25502647976 
yaw:  1.24074559092 Yaw vel:  -0.459 Yaw acc:  -9.9 yaw Deseada:  -2.74367900524 Control: 1490.05015431 Error:  3.98442459616 
yaw:  1.24074559092 Yaw vel:  -0.459 Yaw acc:  -9.9 yaw Deseada:  -1.72942773769 Control: 1492.57723015 Error:  2.97017332861 
