yaw:  -3.53436868438 Yaw vel:  -0.278 Yaw acc:  -9.86 yaw Deseada:  6.94078507429 Control: 1526.19276436 Error:  -10.4751537587 
yaw:  -5.09502870336 Yaw vel:  -0.235 Yaw acc:  -9.8 yaw Deseada:  8.21057591154 Control: 1533.2728054 Error:  -13.3056046149 
yaw:  -5.09502870336 Yaw vel:  -0.235 Yaw acc:  -9.8 yaw Deseada:  9.15262103495 Control: 1535.62205086 Error:  -14.2476497383 
yaw:  -6.39483077788 Yaw vel:  -0.193 Yaw acc:  -9.85 yaw Deseada:  9.74502241347 Control: 1540.3555106 Error:  -16.1398531914 
yaw:  -6.39483077788 Yaw vel:  -0.193 Yaw acc:  -9.85 yaw Deseada:  9.97130460083 Control: 1540.91604126 Error:  -16.3661353787 
yaw:  -7.50893324237 Yaw vel:  -0.161 Yaw acc:  -9.81 yaw Deseada:  9.82065666908 Control: 1543.32696687 Error:  -17.3295899114 
yaw:  -7.50893324237 Yaw vel:  -0.161 Yaw acc:  -9.81 yaw Deseada:  9.28809242173 Control: 1541.99091041 Error:  -16.7970256641 
yaw:  -8.48415704357 Yaw vel:  -0.139 Yaw acc:  -9.82 yaw Deseada:  8.3745265792 Control: 1542.1469005 Error:  -16.8586836228 
yaw:  -8.48415704357 Yaw vel:  -0.139 Yaw acc:  -9.82 yaw Deseada:  7.08676583806 Control: 1538.92330919 Error:  -15.5709228816 
yaw:  -9.21281016197 Yaw vel:  -0.112 Yaw acc:  -9.82 yaw Deseada:  5.43741492999 Control: 1536.6227046 Error:  -14.650225092 
yaw:  -9.21281016197 Yaw vel:  -0.112 Yaw acc:  -9.82 yaw Deseada:  3.44469902914 Control: 1531.63758762 Error:  -12.6575091911 
yaw:  -9.81050720963 Yaw vel:  -0.084 Yaw acc:  -9.85 yaw Deseada:  1.13220505987 Control: 1527.35145852 Error:  -10.9427122695 
yaw:  -9.81050720963 Yaw vel:  -0.084 Yaw acc:  -9.85 yaw Deseada:  -1.47145437665 Control: 1520.83955204 Error:  -8.33905283298 
yaw:  -10.3086841322 Yaw vel:  -0.076 Yaw acc:  -9.76 yaw Deseada:  -4.33304962527 Control: 1514.93175253 Error:  -5.97563450695 
yaw:  -10.3086841322 Yaw vel:  -0.076 Yaw acc:  -9.76 yaw Deseada:  -7.41520927377 Control: 1507.22412413 Error:  -2.89347485845 
yaw:  -10.7659029717 Yaw vel:  -0.076 Yaw acc:  -9.76 yaw Deseada:  -10.6769552896 Control: 1500.2136685 Error:  -0.0889476821149 
yaw:  -10.7659029717 Yaw vel:  -0.066 Yaw acc:  -9.75 yaw Deseada:  -14.0742903007 Control: 1491.71849295 Error:  3.30838732908 
yaw:  -11.1896794974 Yaw vel:  -0.062 Yaw acc:  -9.92 yaw Deseada:  -17.5608285764 Control: 1484.06262742 Error:  6.37114907898 
yaw:  -11.1896794974 Yaw vel:  -0.062 Yaw acc:  -9.92 yaw Deseada:  -21.0884616316 Control: 1475.24210401 Error:  9.89878213421 
yaw:  -11.5778374404 Yaw vel:  -0.062 Yaw acc:  -9.92 yaw Deseada:  -24.6080488856 Control: 1467.41476052 Error:  13.0302114452 
yaw:  -11.5778374404 Yaw vel:  -0.06 Yaw acc:  -9.77 yaw Deseada:  -28.0701234396 Control: 1458.75854989 Error:  16.4922859992 
yaw:  -11.9439535091 Yaw vel:  -0.054 Yaw acc:  -9.75 yaw Deseada:  -31.425602824 Control: 1451.28660833 Error:  19.4816493149 
yaw:  -11.9439535091 Yaw vel:  -0.054 Yaw acc:  -9.75 yaw Deseada:  -34.6264944942 Control: 1443.28372434 Error:  22.6825409851 
yaw:  -12.2913198549 Yaw vel:  -0.054 Yaw acc:  -9.75 yaw Deseada:  -37.6265859259 Control: 1436.65361187 Error:  25.3352660711 
yaw:  -12.2913198549 Yaw vel:  -0.056 Yaw acc:  -9.81 yaw Deseada:  -40.3821093869 Control: 1429.76448544 Error:  28.090789532 
yaw:  -12.7292767071 Yaw vel:  -0.056 Yaw acc:  -9.81 yaw Deseada:  -42.8523718228 Control: 1424.68596374 Error:  30.1230951157 
yaw:  -12.7292767071 Yaw vel:  -0.086 Yaw acc:  -9.81 yaw Deseada:  -45.0003407976 Control: 1419.31568353 Error:  32.2710640905 
yaw:  -13.4679727649 Yaw vel:  -0.086 Yaw acc:  -9.81 yaw Deseada:  -46.7931780601 Control: 1416.68372047 Error:  33.3252052953 
yaw:  -13.4679727649 Yaw vel:  -0.136 Yaw acc:  -9.86 yaw Deseada:  -48.2027130637 Control: 1413.15878221 Error:  34.7347402988 
